City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
466,Goderich,CA,77.32,overcast clouds,43.7501,-81.7165,Harmony Inn
470,Rockland,US,82.22,overcast clouds,41.1668,-74.0496,National Camp Association
471,Kraksaan,ID,75.92,scattered clouds,-7.7585,113.3962,Asrama Hati
472,Boa Vista,BR,85.98,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
476,Singaraja,ID,77.23,few clouds,-8.112,115.0882,Puri Bagus Lovina Resort
477,Balkanabat,TM,89.4,clear sky,39.5108,54.3671,Nebitchi Hotel
478,Hambantota,LK,79.86,overcast clouds,6.1241,81.1185,Bungalow 63
479,Tra Vinh,VN,76.08,overcast clouds,9.9347,106.3453,Hồng Ân
480,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
481,Dalbandin,PK,87.1,few clouds,28.8947,64.4101,Sanjrani House
482,Paciran,ID,76.64,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
483,Negombo,LK,80.65,light rain,7.2083,79.8358,Hotel Sunset Beach
484,Adeje,ES,77.11,clear sky,28.1227,-16.726,Gran Tacande Wellness & Relax
488,Waddan,LY,78.58,clear sky,29.1614,16.139,محل الشريف محمد العايب
490,Garowe,SO,75.29,clear sky,8.4054,48.4845,Curubo Hotel
491,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
492,Sao Felix Do Xingu,BR,81.77,few clouds,-6.6447,-51.995,Rio Xingu Camping
495,Pochutla,MX,85.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
499,Chardara,KZ,78.39,clear sky,41.2547,67.9692,Жанаргул
501,Sarangani,PH,78.89,moderate rain,5.4033,125.4636,JVL Inn and Cafeteria
502,Jhawarian,PK,86.13,broken clouds,32.3614,72.6228,Asif Sweet Villas homes
503,Bali,ID,77.97,broken clouds,-8.5,115.0,Pondok Pitaya
506,Paragominas,BR,76.98,clear sky,-2.9667,-47.4833,INOVA
510,Aquiraz,BR,81.18,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
515,Ajdabiya,LY,79.45,clear sky,30.7554,20.2263,Almadina Hotel
517,Komsomolskiy,UZ,77.72,clear sky,40.4272,71.7189,Ikathouse
518,Outlook,CA,87.24,clear sky,51.5001,-107.0513,Red Wheel Motel
526,Mackenzie,CA,75.42,clear sky,55.2999,-123.1698,Hilton Shop
529,Eureka,US,80.67,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
532,Kilindoni,TZ,75.65,light rain,-7.9139,39.6668,Bustani B&B
