City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
147,Rio Gallegos,AR,-51.6226,-69.2181,30.25,86,0,14.97,clear sky
148,Bengkulu,ID,-3.8004,102.2655,75.07,87,41,4.52,scattered clouds
149,Kavieng,PG,-2.5744,150.7967,83.37,77,60,13.6,light rain
150,Tsiroanomandidy,MG,-18.7667,46.0333,54.21,69,0,4.34,clear sky
151,Liverpool,GB,53.4106,-2.9779,72.61,60,0,5.75,clear sky
152,Barrow,US,71.2906,-156.7887,42.82,81,100,12.66,overcast clouds
153,Lajeado,BR,-29.4669,-51.9614,49.41,89,40,0.67,scattered clouds
154,Cape Town,ZA,-33.9258,18.4232,59.88,87,75,9.22,broken clouds
155,Kalmunai,LK,7.4167,81.8167,79.81,80,100,4.29,overcast clouds
156,Peniche,PT,39.3558,-9.3811,66.56,87,0,1.16,clear sky
157,Vanimo,PG,-2.6741,141.3028,79.07,80,100,2.62,light rain
158,Cockburn Town,TC,21.4612,-71.1419,84.16,70,40,18.41,scattered clouds
159,Ukiah,US,39.1502,-123.2078,102.43,26,0,9.22,clear sky
160,Labuhan,ID,-6.8844,112.2051,75.11,87,96,6.73,overcast clouds
161,Flinders,AU,-34.5833,150.8552,54.18,59,4,11.01,clear sky
162,Slave Lake,CA,55.2834,-114.769,71.58,64,0,4.61,clear sky
163,Izhma,RU,65.0083,53.9113,60.08,95,6,3.36,clear sky
164,Dowa,MW,-13.654,33.9375,53.1,75,61,2.24,broken clouds
165,Bungu,TZ,-7.6337,39.0582,67.95,93,73,4.18,light rain
166,Makat,KZ,47.6469,53.3463,88.74,24,2,18.81,clear sky
167,Malakal,SS,9.5334,31.6605,74.88,83,100,1.68,overcast clouds
168,Cidreira,BR,-30.1811,-50.2056,52.0,75,13,7.85,few clouds
169,Ngawen,ID,-7.0032,111.3129,72.14,89,96,3.29,overcast clouds
170,Buraydah,SA,26.326,43.975,86.45,12,8,8.66,clear sky
171,Wanning,CN,18.8003,110.3967,81.99,90,88,9.01,overcast clouds
172,Tuatapere,NZ,-46.1333,167.6833,53.1,84,92,14.99,moderate rain
173,Vitry-Le-Francois,FR,48.7333,4.5833,68.86,31,70,4.92,broken clouds
174,Yumen,CN,40.2833,97.2,73.26,34,100,17.31,overcast clouds
175,Belmonte,BR,-15.8631,-38.8828,72.34,88,22,9.53,few clouds
176,Sinnamary,GF,5.3833,-52.95,78.44,81,85,6.89,overcast clouds
177,Yulara,AU,-25.2406,130.9889,49.48,48,74,9.26,broken clouds
178,Aksu,CN,41.1231,80.2644,74.55,34,0,6.76,clear sky
179,Malindi,KE,-3.2175,40.1191,74.64,80,34,14.94,light rain
180,Casian,PH,11.035,119.7136,80.53,80,100,8.7,moderate rain
181,Klaksvik,FO,62.2266,-6.589,50.92,89,99,21.16,overcast clouds
182,Conceicao Do Araguaia,BR,-8.2578,-49.2647,80.06,34,5,4.56,clear sky
183,Zhanaozen,KZ,43.3,52.8,89.02,23,0,9.01,clear sky
184,Kotka,FI,60.4664,26.9458,51.06,88,74,12.19,broken clouds
185,Torbay,CA,47.6666,-52.7314,70.57,64,75,11.5,broken clouds
186,Chuy,UY,-33.6971,-53.4616,44.17,83,0,7.29,clear sky
187,Batagay,RU,67.6333,134.6333,58.89,60,100,1.01,overcast clouds
188,Maragogi,BR,-9.0122,-35.2225,74.37,82,65,8.39,broken clouds
189,Lorengau,PG,-2.0226,147.2712,83.03,78,64,10.85,light rain
190,Jumla,NP,29.2747,82.1838,63.64,90,81,0.85,broken clouds
191,Guantanamo,CU,20.1444,-75.2092,89.17,70,5,7.23,clear sky
192,Glasgow,GB,55.8652,-4.2576,67.19,84,100,1.14,overcast clouds
193,Caravelas,BR,-17.7125,-39.2481,71.92,85,5,6.15,clear sky
194,Nanortalik,GL,60.1432,-45.2371,42.49,89,79,11.97,broken clouds
195,Mersing,MY,2.4312,103.8405,76.91,100,40,4.61,scattered clouds
196,Seymchan,RU,62.8833,152.4333,55.22,88,100,3.85,light rain
197,Buchanan,LR,5.8808,-10.0467,76.51,83,100,12.06,overcast clouds
198,Atar,MR,20.5169,-13.0499,95.83,18,54,3.67,broken clouds
199,Nishihara,JP,26.1842,127.7558,84.25,89,100,14.97,overcast clouds
200,Bondo,CD,3.8146,23.6866,69.91,99,94,1.86,moderate rain
201,San Patricio,US,28.017,-97.5169,95.18,46,81,15.43,broken clouds
202,Souillac,MU,-20.5167,57.5167,70.18,73,75,12.66,light rain
203,Porto Walter,BR,-8.2686,-72.7439,74.98,95,100,1.9,very heavy rain
204,Carangola,BR,-20.7331,-42.0294,67.51,64,98,4.72,overcast clouds
205,Ambilobe,MG,-13.2,49.05,65.5,72,52,6.24,broken clouds
206,Makakilo City,US,21.3469,-158.0858,82.72,70,75,11.5,broken clouds
207,Pergamino,AR,-33.89,-60.5736,47.17,65,78,1.99,broken clouds
208,Te Anau,NZ,-45.4167,167.7167,52.02,81,100,13.96,heavy intensity rain
209,Shingu,JP,33.7333,135.9833,81.99,67,100,3.44,overcast clouds
210,Ranipur,PK,27.2879,68.5051,83.86,82,100,4.09,overcast clouds
211,Karratha,AU,-20.7377,116.8463,63.9,50,1,5.59,clear sky
212,Kashi,CN,39.4547,75.9797,78.01,29,0,11.18,clear sky
213,Havoysund,NO,70.9963,24.6622,52.03,84,71,4.05,broken clouds
214,Nadym,RU,65.5333,72.5167,54.59,65,71,11.03,broken clouds
215,Meulaboh,ID,4.1363,96.1285,76.1,91,69,3.33,broken clouds
216,Penzance,GB,50.1186,-5.5371,65.08,68,100,12.41,overcast clouds
217,Alto Araguaia,BR,-17.3147,-53.2153,73.13,40,4,3.87,clear sky
218,Bambous Virieux,MU,-20.3428,57.7575,70.05,73,75,12.66,light rain
219,Lima,PE,-12.0432,-77.0282,63.9,76,100,11.5,overcast clouds
220,Mar Del Plata,AR,-38.0023,-57.5575,55.09,50,0,16.11,clear sky
221,Brae,GB,60.3964,-1.353,53.11,88,100,8.5,overcast clouds
222,Cabo San Lucas,MX,22.8909,-109.9124,92.61,42,0,4.61,clear sky
223,Richards Bay,ZA,-28.783,32.0377,64.58,89,0,9.53,clear sky
224,Victoria,HK,22.2855,114.1577,86.97,82,100,10.0,overcast clouds
225,Bhanvad,IN,21.9264,69.7736,78.87,88,82,9.66,broken clouds
226,Touros,BR,-5.1989,-35.4608,77.14,78,58,15.3,broken clouds
227,Floro,NO,61.5996,5.0328,57.24,100,100,16.11,overcast clouds
228,Sorong,ID,-0.8833,131.25,78.22,83,100,3.87,overcast clouds
229,Bathsheba,BB,13.2167,-59.5167,81.21,87,20,18.41,few clouds
230,Coachella,US,33.6803,-116.1739,112.95,24,0,11.5,clear sky
231,Cascais,PT,38.6979,-9.4215,70.47,73,20,14.0,few clouds
232,Fort Nelson,CA,58.8053,-122.7002,74.79,43,75,2.3,broken clouds
233,Mehamn,NO,71.0357,27.8492,51.75,87,100,4.61,overcast clouds
234,Lashio,MM,22.9333,97.75,68.77,99,92,1.57,overcast clouds
235,Bonfim,BR,3.0833,-59.95,82.09,72,72,3.29,broken clouds
236,Gat,IL,31.61,34.7642,78.4,100,0,1.12,clear sky
237,Collierville,US,35.042,-89.6645,95.76,46,40,11.5,scattered clouds
238,Oranjemund,NA,-28.55,16.4333,57.07,83,0,5.06,clear sky
239,Walvis Bay,NA,-22.9575,14.5053,71.26,29,10,7.81,clear sky
240,Kodiak,US,57.79,-152.4072,56.77,70,87,4.92,overcast clouds
241,Minab,IR,27.1467,57.0801,88.12,74,79,0.0,broken clouds
242,Ust-Kulom,RU,61.6864,53.6902,57.38,70,49,3.4,scattered clouds
243,Marawi,PH,7.9986,124.2928,71.01,93,100,2.77,overcast clouds
244,Taunggyi,MM,20.7833,97.0333,62.98,98,100,1.5,overcast clouds
245,Biak,ID,-0.9131,122.8766,71.62,95,100,2.44,heavy intensity rain
246,Lesosibirsk,RU,58.2358,92.4828,55.67,99,100,5.57,moderate rain
247,Olinda,BR,-8.0089,-34.8553,78.53,65,75,11.5,broken clouds
248,Saldanha,ZA,-33.0117,17.9442,48.25,92,0,8.41,clear sky
249,Churapcha,RU,62.0025,132.4325,79.88,52,68,6.73,broken clouds
250,Spiridonovka,RU,53.0925,50.6462,63.88,81,45,3.91,scattered clouds
251,Lazaro Cardenas,MX,17.9583,-102.2,85.39,68,77,7.45,broken clouds
252,Iquique,CL,-20.2208,-70.1431,59.04,78,87,5.08,overcast clouds
253,Georgetown,MY,5.4112,100.3354,82.89,91,20,2.3,haze
254,Pallasovka,RU,50.05,46.8833,73.62,51,33,7.34,scattered clouds
255,Gazojak,TM,41.1875,61.4036,87.84,16,0,11.72,clear sky
256,Puerto Concordia,CO,2.6221,-72.7572,73.27,97,80,4.09,broken clouds
257,Magadan,RU,59.5667,150.8,63.54,89,96,4.79,overcast clouds
258,Sola,VU,-13.8833,167.55,83.07,79,75,3.44,broken clouds
259,Coquimbo,CL,-29.9533,-71.3436,55.13,76,0,4.61,clear sky
260,Omboue,GA,-1.5746,9.2618,71.04,87,29,4.23,scattered clouds
261,Kavaratti,IN,10.5669,72.642,81.7,76,100,19.73,overcast clouds
262,Hrebinka,UA,50.1171,32.4361,50.31,91,6,8.25,clear sky
263,Harper,LR,4.375,-7.7169,75.6,79,99,11.68,overcast clouds
264,Tiarei,PF,-17.5333,-149.3333,82.42,72,37,13.53,light rain
265,Hervey Bay,AU,-25.2986,152.8535,64.02,87,54,5.99,broken clouds
266,Pravokumskoye,RU,44.7694,44.6472,75.88,43,1,9.82,clear sky
267,Port Hedland,AU,-20.3167,118.5667,53.65,62,2,3.44,clear sky
268,Yar-Sale,RU,66.8333,70.8333,56.89,69,68,7.99,broken clouds
269,Gimli,CA,50.6336,-96.9907,89.62,62,1,11.5,clear sky
270,Isangel,VU,-19.55,169.2667,80.71,78,75,4.61,broken clouds
271,Zyryanka,RU,65.75,150.85,60.44,45,72,1.3,broken clouds
272,Ust-Tsilma,RU,65.441,52.1498,62.2,85,96,2.55,overcast clouds
273,Loa Janan,ID,-0.583,117.095,73.35,99,100,2.28,light rain
274,Camana,PE,-16.6228,-72.7111,60.87,80,64,8.25,broken clouds
275,Ponta Do Sol,PT,32.6667,-17.1,73.0,82,16,4.63,few clouds
